"genes","KL_Temp6_SexF_Rep1","KL_Temp6_SexF_Rep2","KL_Temp6_SexF_Rep3","KL_Temp19_SexF_Rep1","KL_Temp19_SexF_Rep2","KL_Temp19_SexF_Rep3","KL_Temp6_SexM_Rep1","KL_Temp6_SexM_Rep2","KL_Temp6_SexM_Rep3","KL_Temp19_SexM_Rep1","KL_Temp19_SexM_Rep2","KL_Temp19_SexM_Rep3","KL_Temp6_SexF_meanlogcpm","KL_Temp19_SexF_meanlogcpm","KL_Temp6_SexM_meanlogcpm","KL_Temp19_SexM_meanlogcpm"
"augustus_masked-scaffold1018-size132708-abinit-gene-0.5",4.77936328936831,4.65869955136978,4.31073622827328,4.19652849318974,4.99558636898885,3.39128061743164,5.67459725841293,5.83139945957966,5.81569644614026,5.27413228568266,5.68471202815182,5.51297106902307,4.58293302300379,4.19446515987008,5.77389772137762,5.49060512761918
"augustus_masked-scaffold1018-size132708-abinit-gene-0.8",7.63815024166025,8.16053508270443,7.28158832542133,8.13195106239173,8.98798932498289,7.81770692185305,7.98546468854397,8.48590077242687,8.46756196049,9.25052130910362,8.52771580157397,8.97262166633832,7.69342454992867,8.31254910307589,8.31297580715361,8.91695292567197
"augustus_masked-scaffold1019-size110373-abinit-gene-0.1",4.89433682279979,4.92866162512668,4.92843509158897,5.38507478016345,5.09108473612032,5.39176929502025,5.85462998646883,5.77951733780491,5.89633658689661,6.43944903327403,6.11976660319413,6.22244920592876,4.91714451317181,5.28930960376801,5.84349463705678,6.26055494746564
"augustus_masked-scaffold1019-size110373-abinit-gene-0.2",6.09576762108354,6.046145831555,6.03133268325742,6.66318030365712,6.46567993544487,6.39370241710624,6.8656110814137,7.17036694345415,7.08448117879411,7.3725510146401,7.19884402326182,7.33855689912039,6.05774871196532,6.50752088540274,7.04015306788732,7.30331731234077
"augustus_masked-scaffold1019-size110373-abinit-gene-0.3",4.07259888183171,3.66039594362254,3.6963921255992,3.93017672321718,3.87545639673534,3.94985803695175,3.71650011896368,3.70268211833866,3.74651814261115,4.32227317325524,4.24188754969406,4.08391499978203,3.80979565035115,3.91849705230142,3.72190012663783,4.21602524091044
"augustus_masked-scaffold1019-size110373-abinit-gene-0.4",5.34242797518717,5.09894246360765,5.25730921204809,5.90995174698445,5.23602432744048,5.45343396061817,4.60733061490424,4.75362599521203,4.53608487417202,4.50454351253563,4.62005333884499,4.61138956292638,5.23289321694763,5.5331366783477,4.63234716142943,4.57866213810234
"augustus_masked-scaffold1019-size110373-abinit-gene-0.5",7.32056578331701,7.40850829161607,7.49430560892891,6.71760215634144,7.19646662813904,7.28770226005732,7.86583172812939,8.04498588208039,7.86410675955186,7.38695653766817,7.66364407861508,7.73663061315586,7.40779322795399,7.06725701484593,7.92497478992054,7.59574374314637
"augustus_masked-scaffold1019-size110373-abinit-gene-1.0",5.24821875831795,5.24531906528394,5.26468346814286,5.34230203645817,5.22596045180808,5.24700459967053,4.11299577872388,3.90992221634999,4.15324927670509,4.23323222522758,4.22375917038874,4.14241383096922,5.25274043058158,5.27175569597892,4.05872242392632,4.19980174219518
"augustus_masked-scaffold102-size108901-abinit-gene-0.0",2.78630558502504,2.10848724770649,2.85518179643215,2.95670972675894,2.44983891342446,2.7823145952929,2.04346527539025,2.96480121448767,3.3889303536293,2.80743428012517,2.49335962985705,2.28132708667149,2.58332487638789,2.7296210784921,2.79906561450241,2.52737366555123
"augustus_masked-scaffold102-size108901-abinit-gene-0.5",6.01055581329247,5.81426778930717,5.6597112098665,6.58921657120776,6.03682670759188,6.37819854125871,5.57709968329108,5.89248804534911,5.87739003770103,5.93105758785403,5.8407959364727,5.89962851451563,5.82817827082205,6.33474727335279,5.78232592211374,5.89049401294745
"augustus_masked-scaffold1021-size46816-abinit-gene-0.1",5.19988684429533,4.87128582938607,4.97413371517826,5.74157568162596,4.79689947628374,5.62770972911386,1.77196969765977,2.36151155558722,2.16516378223136,2.24450667156733,2.43939644158194,1.96056834994611,5.01510212961989,5.38872829567452,2.09954834515945,2.21482382103179
"augustus_masked-scaffold1021-size46816-abinit-gene-0.2",7.72877006231445,7.38668930380231,7.59475572881733,7.8829518121569,7.17874938979601,7.98313285651991,4.46861093812913,4.68391683091816,4.71570478615669,4.63772073158841,4.77747534346794,4.66558371140267,7.57007169831136,7.68161135282427,4.62274418506799,4.69359326215301
"augustus_masked-scaffold1021-size46816-abinit-gene-0.3",4.48496260299321,4.07291769166297,4.22260615943537,5.22797077707258,4.21604015565666,4.9684181087809,3.82125424820808,3.57929898356623,3.58851590531629,4.00721192417615,3.83930557786016,4.00803865153711,4.26016215136385,4.80414301383671,3.66302304569687,3.95151871785781
"augustus_masked-scaffold1021-size46816-abinit-gene-0.5",2.97252362128705,2.87375911223712,2.87244642878643,4.3217368317897,3.15944488771601,4.03141223391215,2.6292892924697,2.42904564665159,3.04851048120001,3.24714293797937,2.7107001446951,3.13274985948828,2.90624305410353,3.83753131780596,2.70228180677377,3.03019764738758
"augustus_masked-scaffold1021-size46816-abinit-gene-0.6",6.51697701736558,6.93359124385771,6.61128120739551,6.6050858620873,6.37675193640821,6.57299556736212,7.3321442762367,7.50366291835867,7.44930442647583,7.25464623279001,7.15317752374717,7.15488241804854,6.68728315620627,6.51827778861921,7.42837054035706,7.18756872486191
"augustus_masked-scaffold1022-size75351-abinit-gene-0.2",7.97121774245459,8.25227260614613,8.02835424092101,8.32204085794516,8.22261442584929,7.81506087959396,8.79660512548366,8.68406464237982,8.98154702309821,8.44985556167485,8.33125042069435,8.42224338202551,8.08394819650725,8.11990538779614,8.82073893032056,8.40111645479824
"augustus_masked-scaffold1024-size49215-abinit-gene-0.4",4.32692702839794,4.64192418445096,4.55082860344439,5.17398030333844,5.95845775796929,4.50330232149243,5.90248751338733,5.63088809222561,6.04169576283327,6.71674315918626,6.91375586683223,6.68472971571313,4.50655993876443,5.21191346093339,5.8583571228154,6.77174291391054
"augustus_masked-scaffold1027-size66346-abinit-gene-0.1",2.44232941421327,2.43882242971608,2.22222797847722,1.93184920532337,2.42072231524837,2.1949684547068,1.15522718288042,1.96630404025957,1.48616879403601,1.12285936698087,0.792898654697715,1.21508731215644,2.36779327413552,2.18251332509284,1.53590000572533,1.04361511127834
