genes,logFC,logCPM,F,PValue,FDR
maker-scaffold600-size123458-augustus-gene-0.34,-1.07542270672569,6.36922176210601,95.5135966000633,5.75753255082795e-07,0.000198689262413076
maker-scaffold388-size32662-augustus-gene-0.17,-0.832411877419163,6.59155578217344,94.2807187715876,6.16337792070965e-07,0.000198689262413076
maker-scaffold230-size39793-augustus-gene-0.19,2.13776241768206,6.90371913072066,95.5068777755152,6.17047398798372e-07,0.000198689262413076
maker-scaffold271-size67337-augustus-gene-0.20,0.945335929298296,6.70944166399233,90.433679537952,7.66325307198269e-07,0.000235148356296622
augustus_masked-scaffold271-size67337-abinit-gene-0.7,0.880298969050828,6.0635788828524,90.11341569612,7.80638150053039e-07,0.000235148356296622
augustus_masked-scaffold223-size114676-abinit-gene-0.9,3.95832854861127,9.26513864915821,91.8542192637797,8.29121447069403e-07,0.00024194800227294
maker-scaffold1438-size64040-augustus-gene-0.24,0.955898436225884,6.28253947322145,86.9511943475992,9.40159861196752e-07,0.000264715672010772
maker-scaffold1720-size26413-snap-gene-0.15,0.958957848395594,7.77812904284878,86.5357491499204,9.6383945688223e-07,0.000264715672010772
augustus_masked-scaffold37-size67411-abinit-gene-0.7,-1.09669897476356,4.97235572561827,84.9919608435381,1.05817442784489e-06,0.000282320937349018
maker-scaffold1633-size15506-augustus-gene-0.9,1.43712563512557,5.08159140415714,83.636841135594,1.14999814816384e-06,0.000298296741876498
maker-scaffold2279-size14011-snap-gene-0.0,0.802424371450963,7.30604592935591,81.6842182806771,1.29926051478595e-06,0.000327905261812735
maker-scaffold2355-size43131-augustus-gene-0.12,-2.4873692728952,10.2620356515574,82.9721164926695,1.39351334621157e-06,0.00034243756912957
maker-scaffold403-size50949-augustus-gene-0.17,1.8054342201537,4.80487635342957,79.1542092551361,1.52777614634177e-06,0.000353731432985213
maker-scaffold89-size185956-snap-gene-0.7,0.894606332884945,5.76868773642839,79.0980632982376,1.53335823531779e-06,0.000353731432985213
snap_masked-scaffold5-size95213-abinit-gene-0.31,2.61128881259102,8.54108811725193,81.0837246568484,1.56607496895345e-06,0.000353731432985213
maker-scaffold42-size62576-snap-gene-0.7,1.32752981847688,5.211088072288,78.5319679136589,1.59099595045823e-06,0.000353731432985213
maker-scaffold1361-size21254-augustus-gene-0.13,-1.36872491970691,5.74848315977266,77.70909250503,1.67936870568222e-06,0.000359964349592431
maker-scaffold197-size74663-augustus-gene-0.21,-1.07189618222875,7.83733234105969,77.5587749851591,1.69612672757196e-06,0.000359964349592431
maker-scaffold102-size108901-augustus-gene-0.26,-1.02343832116297,8.50442836674467,77.1961446553275,1.73736717634132e-06,0.000360522993170561
maker-scaffold1513-size34001-snap-gene-0.13,-1.00890559348738,6.01455894284554,76.5550676547127,1.81318469872946e-06,0.000361581634957143
maker-scaffold1326-size36164-augustus-gene-0.17,-0.941510854858356,6.26484872038415,76.4997078151769,1.81991184868127e-06,0.000361581634957143
maker-scaffold891-size27840-snap-gene-0.13,1.18569681424016,7.25885852124756,75.4599998332978,1.95185342321579e-06,0.00036996621597267
maker-scaffold946-size117884-augustus-gene-0.38,1.07436969554798,7.37755610615346,75.1469711012474,1.99375068149252e-06,0.00036996621597267
maker-scaffold100-size97533-snap-gene-0.14,-3.32170878167585,9.82272931924924,77.0992664830573,2.01983711059321e-06,0.00036996621597267
maker-scaffold2048-size24850-augustus-gene-0.11,1.20351755649612,5.37875438989041,74.9504618897733,2.02059081330115e-06,0.00036996621597267
snap_masked-scaffold553-size31788-abinit-gene-0.7,-2.65822113082708,5.35364768448993,76.6532820002031,2.07968273796455e-06,0.000373463027059865
maker-scaffold363-size96300-augustus-gene-0.21,0.962194021774909,6.50350932458326,72.507135512099,2.39233769476348e-06,0.000421502818749083
maker-scaffold491-size41680-augustus-gene-0.17,-1.13872764499345,7.09940887109049,71.372968292829,2.59181547345072e-06,0.00043411379688393
maker-scaffold669-size102525-augustus-gene-0.61,-0.905753082097748,6.27122056806184,71.310728120403,2.60331492954182e-06,0.00043411379688393
maker-scaffold2803-size15549-augustus-gene-0.2,-1.79618887128223,8.02351148596568,71.549040113126,2.6033810907582e-06,0.00043411379688393
maker-scaffold142-size401332-augustus-gene-3.19,1.53805809277568,3.6260499296977,71.0580847188258,2.65061117658624e-06,0.000434235213455479
maker-scaffold147-size255492-augustus-gene-1.43,1.16343883347342,5.22098784118795,70.3822361027183,2.78216632453859e-06,0.000447928778250712
augustus_masked-scaffold180-size179317-abinit-gene-1.0,2.72021505495607,6.46403498765136,72.0635712112303,2.83404935222476e-06,0.000448548353408048
maker-scaffold76-size137588-augustus-gene-0.21,1.95058164856117,5.05892405711139,69.757541618181,2.91061422236223e-06,0.000452988593473642
